No.,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Initial Impact Classification,Steady-State Impact Classification,Video Quality,No. of Levels (Steady Penet Depth),No. of Levels (Max. Penet Depth),Weber #,Comments
h154,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,mp4 format,19,1.526315789,2.105263158,4.578947368,5.157894737,0.8520379897,2.767905285,0.5263157895,0.4210526316,22.2066114,56,0.7684278839,1.263157895,0,0.5263157895,2.960829493,11.16359447,9.596774194,,0.820873936,06/06/2024,h5_E1_6_25,"E, W",SDRD,,,,,
h155,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,mp4 format,20.4,1.37254902,1.960784314,4.166666667,4.705882353,0.8241758242,2.682855785,0.3921568627,0.1470588235,20.22183686,66,1.125173302,1.421568627,-1.666666667,0.3921568627,3.905529954,12.86866359,4.919354839,,1.740805338,06/06/2024,h5_E1_6_26,"E, W",JLRD,,,,,
h156,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,mp4 format,19.6,1.479591837,2.091836735,4.540816327,5.867346939,0.8139194139,2.81286876,0.4081632653,0.1530612245,23.30649829,70,0.1101779139,0.8673469388,0,-1.46E+02,1.918202765,16.04032258,6.065668203,,2.218393168,06/06/2024,h5_E1_6_27,"D, W",JLRD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h157,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.4,2.448979592,2.448979592,4.795918367,5.37414966,0.797515528,2.763343659,0,0,22.09699991,57,0.03999773304,2.108843537,0.6462585034,0,1.071428571,9.435483871,10.81797235,,1.539228078,06/09/2023,h5_E1_7_25,"D, W",SDRD,,,,,
h158,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.4,1.768707483,1.768707483,4.829931973,5.816326531,0.7960718122,2.761582186,0.1020408163,0,22.05477014,65,0.05334198482,1.972789116,-0.03401360544,0.4081632653,0.5875576037,9.297235023,12.54608295,,2.210043669,06/09/2023,h5_E1_7_26,"D, W",SDRD,,,,,
h159,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.9,1.899641577,1.899641577,5.698924731,6.523297491,0.8425899953,2.909082263,0.1075268817,0,25.78081399,60,0.04522858267,2.867383513,0,0.1075268817,0.3110599078,11.09447005,7.983870968,,2.124035259,06/09/2023,h5_E1_7_27,"D, W",SDRD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h160,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.1,4.604810997,4.604810997,4.158075601,4.673539519,0.787810128,2.786603211,0.5498281787,0.2405498282,22.6596928,61,0.05875439501,1.374570447,0,0.5498281787,0.4838709677,17.21198157,11.8202765,,1.602042721,06/09/2023,h5_E1_8_25,"E, i",ih,,,,,
h161,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.8,3.715277778,3.715277778,4.340277778,4.895833333,0.801510989,2.821081715,0,0,23.51124441,72,0.05813454273,1.805555556,0,0,0.2880184332,12.5,3.052995392,,3.504082191,06/09/2023,h5_E1_8_26,"E, i",NR,,,,,
h162,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.2,4.75177305,4.75177305,3.971631206,4.75177305,0.8316316448,2.883360858,0.1063829787,0.1063829787,25.10299927,57,0.05746608096,1.134751773,0.4255319149,0.6737588652,3.508064516,10.68548387,4.072580645,,2.115112316,06/09/2023,h5_E1_8_27,"D, i",NR,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h163,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.4,4.455782313,4.455782313,3.87755102,5.612244898,1.455296404,2.517455802,0,0,16.70760433,26,0.9909980823,1.598639456,0.6462585034,0.1020408163,0.3744239631,8.093317972,6.59562212,,2.312328825,06/12/2023,h5_E1_3_28,"E, W",JRS,,,,,
h164,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,30.6,3.660130719,3.692810458,4.477124183,5.522875817,1.501628728,2.712889182,0,0,15.06398279,40,0.1077655734,1.732026144,0,0.09803921569,5.633640553,10.40322581,7.016129032,,3.38616968,06/12/2023,h5_E1_3_29,"E, W",JRS,,,,,
h165,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,22.5,4.844444444,4.844444444,5.733333333,6.666666667,1.587878788,2.809911985,0.1333333333,0.1333333333,23.23307894,35,0.6481854478,0.9333333333,0.7555555556,0.1333333333,7.661290323,1.52E+02,33.46774194,,1.883663731,03/23/2024,h5_E1_3_30,"E, W",DRS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h166,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,28,6.964285714,7.071428571,3.714285714,4.535714286,1.51625387,2.506539582,0.3214285714,0,16.45181076,41,0.1916907493,1.357142857,-0.2142857143,-2.45E+02,55.40322581,54.98847926,54.50460829,,2.016397268,06/03/2024,h5_E1_4_28,"E, W",JRD,,,,,
h167,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,25.8,6.860465116,6.860465116,4.457364341,5.271317829,1.395348837,2.3461925,0,0,13.52444787,30,0.3565766323,2.248062016,0,0,0,7.701612903,8.508064516,,2.180673184,03/23/2024,h5_E1_4_29,"E, PDF",JRS,check other takes if this one is bad,,,,
h168,4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,29.8,2.785234899,3.791946309,4.496644295,6.308724832,1.439044177,2.396453293,0,0,14.21409238,43,0.0128644283,4.228187919,-1.812080537,0,18.63479263,26.35368664,9.821428571,,2.802282654,06/03/2024,h5_E1_4_30,"E, PDF",JRS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h169,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,22.85356304,13.17081277,13.69589501,2.450383772,4.331928454,1.42230093,2.644877482,0.1750274123,0,19.37515991,29,0.1748734392,0.3938116776,0.3500548246,-1.89E+02,60.32258065,39.67741935,7.050691244,,1.075513659,06/04/2024,h5_E1_5.2_28,"PDF, D","PDF, E",,,,,
h170,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,21.6,14.9537037,14.9537037,3.935185185,5.138888889,1.50843254,2.945106878,0.2777777778,0.1851851852,26.28686234,45,0.03362125298,1.435185185,0,-1.67E+02,0.1728110599,35.21889401,4.18202765,,3.756005836,06/04/2024,h5_E1_5.2_29,"PDF, D","PDF, D",,,,,
h171,4,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,22.8,11.92982456,12.3245614,3.157894737,4.429824561,1.421891125,2.663515362,0.2631578947,0,16.95594105,28,0.2029977828,1.096491228,0.4385964912,-1.85E+02,73.77880184,69.9078341,55.71428571,,1.067680063,06/04/2024,h5_E1_5.2_30,"PDF, D","PDF, D",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h172,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,28.5,3.438596491,3.964912281,4.842105263,6.035087719,1.518979266,2.765537334,0.3157894737,0.2456140351,22.14966669,24,0.2383506774,-1.368421053,-0.350877193,0.8771929825,0,5.357142857,8.006912442,,1.281589986,03/23/2024,h5_E1_6_28,"E, W",JLRH,BAD,,,,
h173,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,29.1,2.817869416,2.817869416,4.948453608,6.18556701,1.466729147,2.672641257,0.1718213058,0.06872852234,19.99174127,23,0.871137281,0.9965635739,0,0.4467353952,0,13.22004608,7.517281106,,1.64638162,03/23/2024,h5_E1_6_29,"E, W",JLRH,BAD,,,,
h174,4,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,30.6,2.058823529,2.352941176,4.607843137,5.68627451,1.374883287,2.529025155,0.1307189542,0,16.9390116,23,1.123527751,-0.1960784314,-0.5882352941,0.3267973856,0,10.64516129,5.760368664,,2.174566408,03/23/2024,h5_E1_6_30,"E, W",JLRH,BAD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h175,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.8,4.236111111,4.236111111,3.993055556,4.826388889,1.478365385,2.711552341,0.4166666667,0.3125,17.93937565,25,0.2561223509,1.597222222,0,0.9722222222,0.5702764977,13.42741935,5.650921659,,1.272156609,06/14/2023,h5_E1_7_28,"D, i",JLRH,,,,,
h176,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.1,4.226804124,4.226804124,4.020618557,4.673539519,1.4604811,2.634582973,0.1030927835,0.1030927835,19.14980078,26,0.1928942677,1.649484536,0,0.206185567,0.564516129,22.98387097,6.209677419,,1.663050032,06/14/2023,h5_E1_7_29,"E, W","BE - wave rebound, rough steady state surface",,,,,
h177,4,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,30.3,4.02640264,4.02640264,3.861386139,5.082508251,1.426395387,2.604855935,0.198019802,0.1320132013,18.50886319,29,0.1958609225,1.617161716,0,0.3630363036,0.5184331797,11.11751152,4.089861751,,1.825302975,06/14/2023,h5_E1_7_30,"E, W","BE - wave rebound, rough steady state surface",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h178,4,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,22.5,9.955555556,9.955555556,2.8,4,1.577777778,2.768461063,0.3555555556,0,22.21999093,30,0.316933523,0.8888888889,0,0.4444444444,0,16.07142857,12.33870968,,0.7598819907,03/24/2024,h5_E1_8.1_28,"E, PDF",PDFH,Uncalibrated Camera,,,,
h179,4,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,,21,7.238095238,7.238095238,4.476190476,5.761904762,1.462224109,2.949840328,0.2380952381,0,26.87968308,29,0.2411390061,-0.04761904762,-0.3333333333,-1.98E+02,34.99423963,68.61751152,18.29493088,,1.745216239,06/03/2024,h5_E1_8.1_29,"D, i",i,good,,,,
h180,4,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,21.8,10.18348624,17.01834862,3.577981651,4.082568807,1.586143215,2.749907415,0,0,21.77623698,32,0.04743297251,0.9174311927,0,0,39.91935484,83.46774194,76.00230415,,1.345863797,03/24/2024,h5_E1_8.1_30,"E, PDF",PDFH,Uncalibrated Camera,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h181,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.1,4.570446735,4.570446735,4.501718213,4.570446735,1.458762887,2.545500827,0.1030927835,0,17.27222734,38,0.02832071383,1.340206186,0,0.2749140893,3.588709677,8.346774194,4.879032258,,4.20255,06/12/2023,h5_E1_3_31,"E, W",JRS,,,,,
h182,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.2,5.460992908,5.460992908,4.503546099,5.744680851,1.516717325,2.620755035,0.1418439716,0.1418439716,18.84985026,42,0.04308481428,1.914893617,0,0.3191489362,0.599078341,7.603686636,3.917050691,,4.436952712,06/12/2023,h5_E1_3_32,"E, i",JRS,,,,,
h183,4,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.7,4.478114478,4.478114478,5.521885522,5.555555556,1.414141414,2.488745869,0.1346801347,0.101010101,16.14248065,29,0.9679681384,3.198653199,0,0.303030303,0.4493087558,3.905529954,4.458525346,,3.219881995,06/12/2023,h5_E1_3_33,"E, W",JRS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
